timestamp,electricity,water,heat,gas
2025-06-01 18:40:12,221.31,14.64,104.11,14.24
2025-06-01 18:40:17,232.76,5.47,198.34,15.65
2025-06-01 18:40:22,147.02,15.6,83.77,18.61
2025-06-01 18:40:27,172.43,12.14,102.21,45.66
2025-06-01 18:40:32,438.75,16.61,129.17,15.98
2025-06-01 18:40:37,134.17,11.87,166.92,23.02
2025-06-01 18:40:42,188.21,18.24,129.34,29.04
2025-06-01 18:40:47,176.99,19.35,181.68,10.2
2025-06-01 18:40:52,233.19,10.35,71.01,35.75
2025-06-01 18:40:57,115.37,8.16,110.06,22.35
2025-06-01 18:41:02,204.06,12.07,129.26,26.92
2025-06-01 18:41:07,362.34,8.28,171.77,12.44
2025-06-01 18:41:12,119.36,5.88,176.54,47.76
2025-06-01 18:41:17,150.76,19.39,91.57,21.04
2025-06-01 18:41:22,145.46,11.58,113.35,16.53
2025-06-01 18:41:27,276.97,19.17,196.52,22.81
2025-06-01 18:41:32,298.63,18.24,143.56,16.09
2025-06-01 18:41:37,468.5,16.08,121.82,46.94
2025-06-01 18:41:42,218.57,15.22,166.47,38.35
2025-06-01 18:41:47,146.89,16.7,91.8,29.96
2025-06-01 18:41:52,189.13,6.44,173.77,49.06
2025-06-01 18:41:57,229.72,5.84,199.76,22.84
2025-06-01 18:42:02,470.96,18.07,132.8,36.44
2025-06-01 18:42:07,250.3,8.5,114.94,15.36
2025-06-01 18:42:12,284.31,18.15,52.93,23.34
2025-06-01 18:42:17,247.09,12.53,145.8,22.41
2025-06-01 18:42:22,289.77,11.34,177.88,19.04
2025-06-01 18:42:27,361.12,14.91,128.92,49.26
2025-06-01 18:42:32,115.53,8.86,51.34,14.92
2025-06-01 18:42:37,315.01,16.77,166.28,17.74
2025-06-01 18:42:42,438.43,8.54,81.26,49.46
2025-06-01 18:42:47,453.99,9.3,172.42,18.33
2025-06-01 18:42:52,184.36,13.31,131.66,48.85
2025-06-01 18:42:57,320.45,13.02,151.15,34.34
2025-06-01 18:43:02,241.44,12.17,168.19,35.7
